node_id,vi_do,kinh_do,so_nhanh,loai_giao_lo,kieu_giao_lo
11361818077,10.7983908,106.6582226,4,Duong lon,Nga tu
11361818078,10.7978864,106.6583521,4,Duong lon,Nga tu
11361818080,10.7978681,106.6584341,4,Duong lon,Nga tu
11361818084,10.7993868,106.6579611,8,Duong lon,Nga 8
11361818103,10.7993071,106.6579816,4,Duong lon,Nga tu
11361818110,10.7979468,106.6586576,4,Duong nho,Nga tu
11361818111,10.7976475,106.6588828,4,Duong nho,Nga tu
11361818114,10.7979359,106.6584002,4,Duong lon,Nga tu
11361818115,10.7981055,106.658565,2,Duong lon,Duong thang
11361818116,10.7980401,106.6586037,4,Duong lon,Nga tu
11363982568,10.7969986,106.6646123,8,Duong lon,Nga 8
11363987276,10.7938363,106.6628342,6,Duong lon,Nga 6
11364104879,10.7910211,106.6657482,3,Duong lon,Nga ba
11365651736,10.800684,106.6609869,2,Duong lon,Duong thang
11365651737,10.8008603,106.6605025,2,Duong lon,Duong thang
11365759160,10.7985319,106.6650518,8,Duong lon,Nga 8
11378916217,10.7957358,106.6672766,4,Duong nho,Nga tu
11389684401,10.7928951,106.6533154,2,Duong lon,Duong thang
11391710166,10.7989336,106.6580856,4,Duong lon,Nga tu
11391735135,10.800568,106.6598726,3,Duong lon,Nga ba
11391735136,10.8007606,106.6597524,2,Duong lon,Duong thang
11399978019,10.8023364,106.6414873,2,Duong lon,Duong thang
11399978022,10.8021853,106.6416697,2,Duong nho,Duong thang
11399978032,10.8041927,106.6375256,6,Duong lon,Nga 6
11407062277,10.8033497,106.6660985,5,Duong lon,Nga 5
11411815956,10.8055073,106.6571273,2,Duong lon,Duong thang
11412849321,10.8043014,106.6640362,5,Hem/Ngo,Nga 5
11412869314,10.8045678,106.6611142,6,Duong lon,Nga 6
11414362356,10.7998474,106.6578317,4,Duong lon,Nga tu
11414362359,10.799531,106.6579179,4,Duong lon,Nga tu
11414424406,10.7954801,106.6656689,2,Hem/Ngo,Duong thang
11414718179,10.8018609,106.6470249,2,Duong lon,Duong thang
11414718180,10.8020166,106.6470405,2,Duong lon,Duong thang
11414836960,10.8011373,106.6621722,2,Duong lon,Duong thang
11414836962,10.8006326,106.6616736,4,Duong lon,Nga tu
11414869197,10.8007913,106.6575484,2,Duong lon,Duong thang
11414869198,10.8004355,106.6576789,4,Duong lon,Nga tu
11435593177,10.8029084,106.6361258,2,Duong lon,Duong thang
11438217215,10.7960237,106.6396139,6,Duong nho,Nga 6
11438217257,10.7989768,106.6419389,6,Duong lon,Nga 6
11438217258,10.7990412,106.64196,4,Duong lon,Nga tu
11438719528,10.7980264,106.6437296,6,Duong lon,Nga 6
11438719531,10.7980931,106.6437505,4,Duong lon,Nga tu
11443990833,10.7968902,106.6458437,6,Duong lon,Nga 6
11443990834,10.7969504,106.6458773,4,Duong lon,Nga tu
11446167735,10.8038408,106.635809,4,Duong lon,Nga tu
11452099354,10.7954899,106.6484568,4,Duong lon,Nga tu
11452099363,10.7961139,106.6474333,2,Duong lon,Duong thang
11452099364,10.7960557,106.6473996,2,Duong lon,Duong thang
11453123766,10.807646,106.6348114,3,Duong lon,Nga ba
11453253009,10.8048605,106.6418984,4,Duong nho,Nga tu
11457533514,10.7866714,106.6434295,8,Duong lon,Nga 8
11457538169,10.7889312,106.6455351,6,Duong nho,Nga 6
11457538233,10.7859423,106.6416355,4,Duong lon,Nga tu
11457538355,10.7858893,106.6436345,6,Duong lon,Nga 6
11457538361,10.7849265,106.6420485,6,Duong lon,Nga 6
11468812721,10.7933066,106.6525906,4,Duong lon,Nga tu
11483124153,10.7860591,106.6454393,6,Duong lon,Nga 6
11491215620,10.7996718,106.6562974,6,Hem/Ngo,Nga 6
11491224311,10.804671,106.6619955,2,Hem/Ngo,Duong thang
11575992181,10.7965991,106.6583237,2,Hem/Ngo,Duong thang
11584778561,10.7711798,106.6527189,4,Duong lon,Nga tu
11743575445,10.7883205,106.6603302,6,Duong lon,Nga 6
11761069770,10.8017969,106.6367198,3,Duong lon,Nga ba
11927555949,10.7893338,106.6600826,4,Duong lon,Nga tu
11932199883,10.7895843,106.6521496,6,Duong lon,Nga 6
11993191643,10.7941738,106.6510425,2,Duong lon,Duong thang
12014583424,10.7844833,106.6542204,6,Duong nho,Nga 6
12074868841,10.8238722,106.6293057,4,Duong nho,Nga tu
12074894069,10.8186831,106.6334389,4,Duong nho,Nga tu
12120475978,10.7903678,106.6549636,6,Hem/Ngo,Nga 6
12120475979,10.7912391,106.6553047,4,Hem/Ngo,Nga tu
12120475981,10.7907367,106.655108,8,Hem/Ngo,Nga 8
12120475982,10.7908669,106.655159,8,Hem/Ngo,Nga 8
12295658876,10.7939181,106.6519279,2,Duong lon,Duong thang
12350504397,10.8073925,106.6549246,2,Duong lon,Duong thang
12350504398,10.8084614,106.6549194,2,Duong lon,Duong thang
12350576306,10.8056044,106.6571385,2,Duong lon,Duong thang
12350576329,10.8065102,106.6548994,3,Duong lon,Nga ba
12350576330,10.8050015,106.6548582,4,Duong lon,Nga tu
12462059893,10.7995071,106.651798,4,Duong nho,Nga tu
12518609456,10.8090596,106.6528301,3,Duong lon,Nga ba
12518609457,10.8088582,106.6528131,2,Duong lon,Duong thang
12564849499,10.8065055,106.655054,3,Duong lon,Nga ba
12564865111,10.8096747,106.6460303,3,Duong lon,Nga ba
12564865130,10.8095507,106.6460181,3,Duong lon,Nga ba
12564865142,10.806343,106.6360702,3,Duong lon,Nga ba
12564865148,10.8096637,106.6448695,4,Duong lon,Nga tu
12564865151,10.8060683,106.6551565,3,Duong lon,Nga ba
12564865166,10.8041695,106.6616734,3,Duong lon,Nga ba
12564865171,10.8103247,106.6527685,3,Duong lon,Nga ba
12564865229,10.8118711,106.6562911,2,Duong lon,Duong thang
12586968984,10.809569,106.6480957,4,Duong lon,Nga tu
12642585029,10.812288,106.6649261,2,Duong lon,Duong thang
12642585030,10.8122702,106.6651466,2,Duong lon,Duong thang
12738755470,10.8090736,106.6526451,3,Duong lon,Nga ba
12738755472,10.8090471,106.6530783,3,Duong lon,Nga ba
12738755477,10.8110444,106.6531332,3,Duong lon,Nga ba
12749483933,10.8119006,106.6554687,3,Duong lon,Nga ba
12765516717,10.8062399,106.6361787,4,Duong lon,Nga tu
12793896106,10.8079952,106.6401391,4,Duong lon,Nga tu
12793896107,10.8097891,106.64478,2,Duong lon,Duong thang
12834017505,10.801246,106.6545425,4,Duong lon,Nga tu
12856066554,10.7852898,106.6614973,4,Duong nho,Nga tu
12856066555,10.7856604,106.6628211,4,Duong nho,Nga tu
12856066557,10.7867794,106.6615659,4,Hem/Ngo,Nga tu
12878563557,10.8111621,106.6557865,2,Duong lon,Duong thang
12878563573,10.8124836,106.6560546,3,Duong lon,Nga ba
12878563576,10.8121965,106.6561983,2,Duong lon,Duong thang
12878563579,10.8108461,106.6555555,3,Duong lon,Nga ba
12878563582,10.8113084,106.6538622,3,Duong lon,Nga ba
12888217064,10.8056011,106.645083,2,Hem/Ngo,Duong thang
12901439433,10.8112296,106.6542276,2,Duong lon,Duong thang
12901439442,10.8093862,106.652773,4,Duong lon,Nga tu
12901439444,10.8090639,106.6527655,3,Duong lon,Nga ba
12901439447,10.8090558,106.6529039,3,Duong lon,Nga ba
12901439450,10.8090515,106.6529889,3,Duong lon,Nga ba
12901439455,10.8090679,106.652702,3,Duong lon,Nga ba
12901439456,10.8095681,106.652774,3,Duong lon,Nga ba
12901439457,10.8097259,106.6527706,3,Duong lon,Nga ba
12908951539,10.8088375,106.6530635,2,Duong lon,Duong thang
12991340401,10.8062994,106.6363136,2,Duong lon,Duong thang
13086411831,10.8062881,106.6548909,3,Duong lon,Nga ba
13098131247,10.7833243,106.644639,2,Hem/Ngo,Duong thang
13103079807,10.774856,106.6531503,4,Duong lon,Nga tu
13103079809,10.7749438,106.653158,4,Duong lon,Nga tu
13103143564,10.8024989,106.663434,3,Duong lon,Nga ba
13120862921,10.8089928,106.6536324,2,Duong lon,Duong thang
13120862922,10.8087853,106.6536127,2,Duong lon,Duong thang
13189183911,10.8027233,106.663593,3,Duong lon,Nga ba
13189183912,10.8025621,106.6634788,3,Duong lon,Nga ba
13189183913,10.802645,106.6634037,2,Duong lon,Duong thang
13189183914,10.8027798,106.6635182,2,Duong lon,Duong thang
